row_type,coupling_id,cell_conductivity_w_mk,coupling_ratio_to_baseline,arm,scheme,alpha,n_ic,sigma,folds,n_cal,cal_rank,tpr,tpr_lo,tpr_hi,fpr_measured,fpr_lo,fpr_hi,fpr_target,max_energy_error,max_linear_residual,endpoint_tpr_range,spearman_rho,extreme_contrast,contrast_lo,contrast_hi,negative_control_pass,positive_control_pass,solver_health_pass,systematic_dependence,report_status,frozen_baseline_sensitivity,frozen_baseline_decision,protocol_hash
endpoint,k05,5.0,0.2500,target,supg,0.5,48,0.01,6,19,19,0.048958,0.029167,0.070833,0.048958,0.021875,0.081276,0.05,2.8807405112e-14,1.1138373634e-18,,,,,,1,1,1,0,GO_REPORT_NO_SYSTEMATIC_DEPENDENCE_RESOLVED,0.083333,NO-FAULT,55544b51c8ff96e6627e96ab8ec71da3ec04d282de4f978ec860bdb26e7394c1
control,k05,5.0,0.2500,nominal_independent_noise,supg,1.0,48,0.01,6,19,19,0.052083,0.026042,0.085443,0.047917,0.022917,0.079167,0.05,2.8807405112e-14,1.1138373634e-18,,,,,,1,1,1,0,GO_REPORT_NO_SYSTEMATIC_DEPENDENCE_RESOLVED,0.083333,NO-FAULT,55544b51c8ff96e6627e96ab8ec71da3ec04d282de4f978ec860bdb26e7394c1
control,k05,5.0,0.2500,galerkin_positive,galerkin,0.0,48,0.01,6,19,19,0.853125,0.776016,0.920859,0.052083,0.012500,0.105208,0.05,2.8807405112e-14,1.1138373634e-18,,,,,,1,1,1,0,GO_REPORT_NO_SYSTEMATIC_DEPENDENCE_RESOLVED,0.083333,NO-FAULT,55544b51c8ff96e6627e96ab8ec71da3ec04d282de4f978ec860bdb26e7394c1
endpoint,k10,10.0,0.5000,target,supg,0.5,48,0.01,6,19,19,0.069792,0.032292,0.115651,0.035417,0.011458,0.068750,0.05,2.8807405112e-14,1.1138373634e-18,,,,,,1,1,1,0,GO_REPORT_NO_SYSTEMATIC_DEPENDENCE_RESOLVED,0.083333,NO-FAULT,55544b51c8ff96e6627e96ab8ec71da3ec04d282de4f978ec860bdb26e7394c1
control,k10,10.0,0.5000,nominal_independent_noise,supg,1.0,48,0.01,6,19,19,0.112500,0.070807,0.157292,0.045833,0.016667,0.081250,0.05,2.8807405112e-14,1.1138373634e-18,,,,,,1,1,1,0,GO_REPORT_NO_SYSTEMATIC_DEPENDENCE_RESOLVED,0.083333,NO-FAULT,55544b51c8ff96e6627e96ab8ec71da3ec04d282de4f978ec860bdb26e7394c1
control,k10,10.0,0.5000,galerkin_positive,galerkin,0.0,48,0.01,6,19,19,0.918750,0.848958,0.973958,0.044792,0.006250,0.102109,0.05,2.8807405112e-14,1.1138373634e-18,,,,,,1,1,1,0,GO_REPORT_NO_SYSTEMATIC_DEPENDENCE_RESOLVED,0.083333,NO-FAULT,55544b51c8ff96e6627e96ab8ec71da3ec04d282de4f978ec860bdb26e7394c1
endpoint,k20_baseline,20.0,1.0000,target,supg,0.5,48,0.01,6,19,19,0.030208,0.014557,0.048958,0.050000,0.023958,0.082292,0.05,2.8807405112e-14,1.1138373634e-18,,,,,,1,1,1,0,GO_REPORT_NO_SYSTEMATIC_DEPENDENCE_RESOLVED,0.083333,NO-FAULT,55544b51c8ff96e6627e96ab8ec71da3ec04d282de4f978ec860bdb26e7394c1
control,k20_baseline,20.0,1.0000,nominal_independent_noise,supg,1.0,48,0.01,6,19,19,0.042708,0.021875,0.068750,0.055208,0.032292,0.080208,0.05,2.8807405112e-14,1.1138373634e-18,,,,,,1,1,1,0,GO_REPORT_NO_SYSTEMATIC_DEPENDENCE_RESOLVED,0.083333,NO-FAULT,55544b51c8ff96e6627e96ab8ec71da3ec04d282de4f978ec860bdb26e7394c1
control,k20_baseline,20.0,1.0000,galerkin_positive,galerkin,0.0,48,0.01,6,19,19,0.935417,0.870833,0.986484,0.051042,0.012500,0.105234,0.05,2.8807405112e-14,1.1138373634e-18,,,,,,1,1,1,0,GO_REPORT_NO_SYSTEMATIC_DEPENDENCE_RESOLVED,0.083333,NO-FAULT,55544b51c8ff96e6627e96ab8ec71da3ec04d282de4f978ec860bdb26e7394c1
endpoint,k40,40.0,2.0000,target,supg,0.5,48,0.01,6,19,19,0.031250,0.017708,0.046875,0.053125,0.028125,0.084375,0.05,2.8807405112e-14,1.1138373634e-18,,,,,,1,1,1,0,GO_REPORT_NO_SYSTEMATIC_DEPENDENCE_RESOLVED,0.083333,NO-FAULT,55544b51c8ff96e6627e96ab8ec71da3ec04d282de4f978ec860bdb26e7394c1
