type,detector,direction,operating_point,sigma,alpha,delta_alpha,sensitivity,detection_limit_delta,ci_lo,ci_hi,frac_censored
curve,signature,weaken,2C_nominal,0.00,1.000000,0.000000,0.000000,,,,
curve,signature,weaken,2C_nominal,0.00,0.950000,0.050000,0.979167,,,,
curve,signature,weaken,2C_nominal,0.00,0.900000,0.100000,1.000000,,,,
curve,signature,weaken,2C_nominal,0.00,0.850000,0.150000,1.000000,,,,
curve,signature,weaken,2C_nominal,0.00,0.750000,0.250000,1.000000,,,,
curve,signature,weaken,2C_nominal,0.00,0.650000,0.350000,1.000000,,,,
curve,signature,weaken,2C_nominal,0.00,0.500000,0.500000,1.000000,,,,
curve,signature,weaken,2C_nominal,0.00,0.250000,0.750000,1.000000,,,,
curve,signature,weaken,2C_nominal,0.00,0.000000,1.000000,1.000000,,,,
limit,signature,weaken,2C_nominal,0.00,,,,0.046,0.045000,0.049091,0.000000
curve,Tmax,weaken,2C_nominal,0.00,1.000000,0.000000,0.062500,,,,
curve,Tmax,weaken,2C_nominal,0.00,0.950000,0.050000,0.062500,,,,
curve,Tmax,weaken,2C_nominal,0.00,0.900000,0.100000,0.062500,,,,
curve,Tmax,weaken,2C_nominal,0.00,0.850000,0.150000,0.062500,,,,
curve,Tmax,weaken,2C_nominal,0.00,0.750000,0.250000,0.062500,,,,
curve,Tmax,weaken,2C_nominal,0.00,0.650000,0.350000,0.062500,,,,
curve,Tmax,weaken,2C_nominal,0.00,0.500000,0.500000,0.062500,,,,
curve,Tmax,weaken,2C_nominal,0.00,0.250000,0.750000,0.062500,,,,
curve,Tmax,weaken,2C_nominal,0.00,0.000000,1.000000,0.145833,,,,
limit,Tmax,weaken,2C_nominal,0.00,,,,>1.0,,,
curve,dTmax,weaken,2C_nominal,0.00,1.000000,0.000000,0.062500,,,,
curve,dTmax,weaken,2C_nominal,0.00,0.950000,0.050000,0.062500,,,,
curve,dTmax,weaken,2C_nominal,0.00,0.900000,0.100000,0.062500,,,,
curve,dTmax,weaken,2C_nominal,0.00,0.850000,0.150000,0.062500,,,,
curve,dTmax,weaken,2C_nominal,0.00,0.750000,0.250000,0.062500,,,,
curve,dTmax,weaken,2C_nominal,0.00,0.650000,0.350000,0.062500,,,,
