alpha,direction,Tmax_at_qref,T_lim,q_max,delta_q_max_pct
0.0000000000,weakening,42.6297592640,45.0000000000,68066.7263818188,-0.6720916240
0.0000000000,weakening,42.6297592640,50.0000000000,85083.4079772735,-0.6720916240
0.2500000000,weakening,42.5342635345,45.0000000000,68437.4338073079,-0.1311284375
0.2500000000,weakening,42.5342635345,50.0000000000,85546.7922591349,-0.1311284375
0.5000000000,weakening,42.5229426589,45.0000000000,68481.6485083749,-0.0666071360
0.5000000000,weakening,42.5229426589,50.0000000000,85602.0606354687,-0.0666071360
0.6500000000,weakening,42.5187603394,45.0000000000,68497.9973896581,-0.0427496616
0.6500000000,weakening,42.5187603394,50.0000000000,85622.4967370726,-0.0427496616
0.7500000000,weakening,42.5163934399,45.0000000000,68507.2531691806,-0.0292429562
0.7500000000,weakening,42.5163934399,50.0000000000,85634.0664614757,-0.0292429562
0.8500000000,weakening,42.5142371081,45.0000000000,68515.6877000028,-0.0169346765
0.8500000000,weakening,42.5142371081,50.0000000000,85644.6096250035,-0.0169346765
0.9000000000,weakening,42.5132180112,45.0000000000,68519.6746386117,-0.0111166463
0.9000000000,weakening,42.5132180112,50.0000000000,85649.5932982646,-0.0111166463
0.9500000000,weakening,42.5122307916,45.0000000000,68523.5373083449,-0.0054799582
0.9500000000,weakening,42.5122307916,50.0000000000,85654.4216354312,-0.0054799582
1.0000000000,nominal,42.5112711287,45.0000000000,68527.2925753438,0.0000000000
1.0000000000,nominal,42.5112711287,50.0000000000,85659.1157191797,0.0000000000
1.0500000000,strengthening,42.5103354669,45.0000000000,68530.9543196016,0.0053434830
1.0500000000,strengthening,42.5103354669,50.0000000000,85663.6928995020,0.0053434830
1.1000000000,strengthening,42.5094208529,45.0000000000,68534.5340707210,0.0105673157
1.1000000000,strengthening,42.5094208529,50.0000000000,85668.1675884013,0.0105673157
1.1500000000,strengthening,42.5085248128,45.0000000000,68538.0414871745,0.0156855925
1.1500000000,strengthening,42.5085248128,50.0000000000,85672.5518589682,0.0156855925
1.2500000000,strengthening,42.5067804142,45.0000000000,68544.8707078406,0.0256512870
1.2500000000,strengthening,42.5067804142,50.0000000000,85681.0883848008,0.0256512870
1.5000000000,strengthening,42.5026303851,45.0000000000,68561.1233054448,0.0493682573
1.5000000000,strengthening,42.5026303851,50.0000000000,85701.4041318060,0.0493682573
2.0000000000,strengthening,42.4948863514,45.0000000000,68591.4715819899,0.0936546655
2.0000000000,strengthening,42.4948863514,50.0000000000,85739.3394774873,0.0936546655
linearity_check,all_alphas,0.8906719884,PASS,1.9822401937,
