Crate,scheme,alpha,Tmax,dTmax,sigma_cell,Tout,Qcool,energy_err
1C,galerkin,0.0000000000,30.8356606105,5.6764288135,0.3818439465,25.1995614035,250.2500000000,0.0000000000
1C,supg,1.0000000000,30.7932843305,5.6437670828,0.3762215899,25.1995614035,250.2500000000,0.0000000000
1C,supg,0.5000000000,30.7973567865,5.6445078659,0.3757243612,25.1995614035,250.2500000000,0.0000000000
1C,supg,2.0000000000,30.7874764321,5.6437401566,0.3774701006,25.1995614035,250.2500000000,0.0000000000
1C,artvisc,1.0000000000,29.3234840043,4.2922528341,0.0459025030,25.1995614035,250.2500000000,0.0000000000
2C,galerkin,0.0000000000,42.5069818316,17.0292864405,1.1455318394,25.5986842105,750.7500000000,0.0000000000
2C,supg,1.0000000000,42.3798529915,16.9313012484,1.1286647697,25.5986842105,750.7500000000,0.0000000000
2C,supg,0.5000000000,42.3920703595,16.9335235976,1.1271730835,25.5986842105,750.7500000000,0.0000000000
2C,supg,2.0000000000,42.3624292963,16.9312204697,1.1324103019,25.5986842105,750.7500000000,0.0000000000
2C,artvisc,1.0000000000,37.9704520129,12.8767585024,0.1377075091,25.5986842105,750.7500000000,0.0000000000
3C,galerkin,0.0000000000,60.0139636632,34.0585728810,2.2910636789,26.1973684211,1501.5000000000,0.0000000000
3C,supg,1.0000000000,59.7597059829,33.8626024969,2.2573295393,26.1973684211,1501.5000000000,0.0000000000
3C,supg,0.5000000000,59.7841407191,33.8670471952,2.2543461671,26.1973684211,1501.5000000000,0.0000000000
3C,supg,2.0000000000,59.7248585925,33.8624409394,2.2648206038,26.1973684211,1501.5000000000,0.0000000000
3C,artvisc,1.0000000000,50.9409040258,25.7535170048,0.2754150181,26.1973684211,1501.5000000000,0.0000000000
