sweep,channel,param,value,accuracy,perm_floor,gap,abs_cos,regime
theta,anisotropy_SDvsAV,theta_deg,0.0000,0.5000,0.4688,0.0312,1.0000,collinear~chance
theta,anisotropy_SDvsAV,theta_deg,2.5000,0.5000,0.4500,0.0500,0.9996,collinear~chance
theta,anisotropy_SDvsAV,theta_deg,5.0000,0.5250,0.4688,0.0563,0.9989,collinear~chance
theta,anisotropy_SDvsAV,theta_deg,7.5000,0.5375,0.4563,0.0812,0.9979,collinear~chance
theta,anisotropy_SDvsAV,theta_deg,10.0000,0.6000,0.4750,0.1250,0.9951,transition
theta,anisotropy_SDvsAV,theta_deg,12.5000,0.6125,0.4750,0.1375,0.9937,transition
theta,anisotropy_SDvsAV,theta_deg,15.0000,0.6625,0.4688,0.1937,0.9811,transition
theta,anisotropy_SDvsAV,theta_deg,17.5000,0.7625,0.4938,0.2687,0.9473,SEPARABLE
theta,anisotropy_SDvsAV,theta_deg,20.0000,0.7750,0.4812,0.2938,0.8750,SEPARABLE
theta,anisotropy_SDvsAV,theta_deg,25.0000,0.8625,0.4938,0.3688,0.7475,SEPARABLE
theta,anisotropy_SDvsAV,theta_deg,30.0000,0.9000,0.5125,0.3875,0.7062,SEPARABLE
theta,anisotropy_SDvsAV,theta_deg,37.5000,0.8875,0.5250,0.3625,0.8022,SEPARABLE
theta,anisotropy_SDvsAV,theta_deg,45.0000,0.9250,0.4688,0.4563,0.3616,SEPARABLE
theta,consistency_SUPGvsAV,theta_deg,0.0000,0.9500,0.5000,0.4500,0.1085,SEPARABLE
theta,consistency_SUPGvsAV,theta_deg,2.5000,0.9625,0.4812,0.4813,0.1266,SEPARABLE
theta,consistency_SUPGvsAV,theta_deg,5.0000,0.9500,0.4625,0.4875,0.1602,SEPARABLE
theta,consistency_SUPGvsAV,theta_deg,7.5000,0.9500,0.4688,0.4812,0.1906,SEPARABLE
theta,consistency_SUPGvsAV,theta_deg,10.0000,0.9500,0.4625,0.4875,0.2199,SEPARABLE
theta,consistency_SUPGvsAV,theta_deg,12.5000,0.9500,0.4500,0.5000,0.2492,SEPARABLE
theta,consistency_SUPGvsAV,theta_deg,15.0000,0.9500,0.4500,0.5000,0.2095,SEPARABLE
theta,consistency_SUPGvsAV,theta_deg,17.5000,0.9625,0.4625,0.5000,0.2229,SEPARABLE
theta,consistency_SUPGvsAV,theta_deg,20.0000,0.9625,0.4625,0.5000,0.2070,SEPARABLE
theta,consistency_SUPGvsAV,theta_deg,25.0000,0.9500,0.4688,0.4812,0.1641,SEPARABLE
theta,consistency_SUPGvsAV,theta_deg,30.0000,0.9875,0.4688,0.5188,0.0844,SEPARABLE
theta,consistency_SUPGvsAV,theta_deg,37.5000,0.9750,0.4875,0.4875,0.0431,SEPARABLE
theta,consistency_SUPGvsAV,theta_deg,45.0000,0.9750,0.4750,0.5000,0.0933,SEPARABLE
rho,magnitude_SDvsAV,nu_AV_over_tau_a2,0.5000,0.6750,0.4750,0.2000,0.9980,SEPARABLE
rho,magnitude_SDvsAV,nu_AV_over_tau_a2,0.6875,0.6125,0.4688,0.1438,0.9983,transition
rho,magnitude_SDvsAV,nu_AV_over_tau_a2,0.8750,0.5625,0.4812,0.0813,0.9996,collinear~chance
rho,magnitude_SDvsAV,nu_AV_over_tau_a2,1.0625,0.5125,0.4750,0.0375,0.9999,collinear~chance
rho,magnitude_SDvsAV,nu_AV_over_tau_a2,1.2500,0.5375,0.4688,0.0687,0.9980,collinear~chance
rho,magnitude_SDvsAV,nu_AV_over_tau_a2,1.4375,0.5625,0.4812,0.0813,0.9796,collinear~chance
rho,magnitude_SDvsAV,nu_AV_over_tau_a2,1.6250,0.6125,0.4812,0.1313,0.9717,transition
rho,magnitude_SDvsAV,nu_AV_over_tau_a2,1.8125,0.6375,0.4688,0.1687,0.9624,transition
rho,magnitude_SDvsAV,nu_AV_over_tau_a2,2.0000,0.6625,0.4688,0.1937,0.9543,transition
control,nc1,NC1_ic_noise,,0.4375,0.4750,-0.0375,,same_scheme_sd_0.109
control,nc2,NC2_mesh_change,,0.7875,0.4750,0.3125,,h_dependent_tau_confound
crossing,anisotropy,theta_deg_at_gap0.2,15.2083,,,,,separability_onset
crossing,magnitude,rho_at_gap0.2,,,,,,separability_onset
regime,,Pe_h,10.8696,,,,,cell_Peclet
regime,,tau,0.019739,,,,,SUPG_tau
regime,,stab_over_phys,9.8696,,,,,added_stab_over_physical_diff
validation,,conv_rel_L2_finest,0.049776,,,,,MMS_convergence
validation,,endpoint_identical_maxabs,0.000e+00,,,,,collinear_endpoint_real
