part,key,subkey,metric,value
runs,k=2,,diff_vs_disp,0.9250
runs,k=2,,perm_floor,0.4708
runs,k=2,,nc2_grid,0.5250
runs,k=2,upwind,rate_p,0.8430
runs,k=2,lax_friedrichs,rate_p,0.6525
runs,k=2,lax_wendroff,rate_p,1.6570
runs,k=2,beam_warming,rate_p,1.5704
runs,k=3,,diff_vs_disp,0.9208
runs,k=3,,perm_floor,0.4917
runs,k=3,,nc2_grid,0.5000
runs,k=3,upwind,rate_p,0.8394
runs,k=3,lax_friedrichs,rate_p,0.6501
runs,k=3,lax_wendroff,rate_p,1.6186
runs,k=3,beam_warming,rate_p,1.5903
runs,k=4,,diff_vs_disp,0.9000
runs,k=4,,perm_floor,0.4708
runs,k=4,,nc2_grid,0.5667
runs,k=4,upwind,rate_p,0.8472
runs,k=4,lax_friedrichs,rate_p,0.6686
runs,k=4,lax_wendroff,rate_p,1.5496
runs,k=4,beam_warming,rate_p,1.4920
runs,k=5,,diff_vs_disp,0.9042
runs,k=5,,perm_floor,0.4500
runs,k=5,,nc2_grid,0.4917
runs,k=5,upwind,rate_p,0.8487
runs,k=5,lax_friedrichs,rate_p,0.6699
runs,k=5,lax_wendroff,rate_p,1.5424
runs,k=5,beam_warming,rate_p,1.5035
runs,k=6,,diff_vs_disp,0.9125
runs,k=6,,perm_floor,0.4708
runs,k=6,,nc2_grid,0.5417
runs,k=6,upwind,rate_p,0.8421
runs,k=6,lax_friedrichs,rate_p,0.6598
runs,k=6,lax_wendroff,rate_p,1.5864
runs,k=6,beam_warming,rate_p,1.5139
reference,fineness=1x,,attribution,0.8708
reference,fineness=1x,,perm_floor,0.4792
reference,fineness=1x,,coeff_drift_rad_LWref_worst,1.5708
reference,fineness=1x,,coeff_drift_rad_LWref_median,0.1170
reference,fineness=1x,,coeff_drift_rad_highorderref_worst,0.0204
reference,fineness=1x,upwind,coeff_drift_rad_LWref,0.0134
reference,fineness=1x,lax_friedrichs,coeff_drift_rad_LWref,0.0075
reference,fineness=1x,lax_wendroff,coeff_drift_rad_LWref,1.5708
reference,fineness=1x,beam_warming,coeff_drift_rad_LWref,0.2205
reference,fineness=2x,,attribution,1.0000
reference,fineness=2x,,perm_floor,0.4563
reference,fineness=2x,,coeff_drift_rad_LWref_worst,0.0628
reference,fineness=2x,,coeff_drift_rad_LWref_median,0.0315
reference,fineness=2x,,coeff_drift_rad_highorderref_worst,0.0013
reference,fineness=2x,upwind,coeff_drift_rad_LWref,0.0036
reference,fineness=2x,lax_friedrichs,coeff_drift_rad_LWref,0.0023
reference,fineness=2x,lax_wendroff,coeff_drift_rad_LWref,0.0595
reference,fineness=2x,beam_warming,coeff_drift_rad_LWref,0.0628
reference,fineness=4x,,attribution,0.9958
reference,fineness=4x,,perm_floor,0.4792
reference,fineness=4x,,coeff_drift_rad_LWref_worst,0.0159
reference,fineness=4x,,coeff_drift_rad_LWref_median,0.0081
reference,fineness=4x,,coeff_drift_rad_highorderref_worst,0.0001
reference,fineness=4x,upwind,coeff_drift_rad_LWref,0.0009
reference,fineness=4x,lax_friedrichs,coeff_drift_rad_LWref,0.0006
reference,fineness=4x,lax_wendroff,coeff_drift_rad_LWref,0.0153
reference,fineness=4x,beam_warming,coeff_drift_rad_LWref,0.0159
reference,fineness=8x,,attribution,1.0000
reference,fineness=8x,,perm_floor,0.4792
reference,fineness=8x,,coeff_drift_rad_LWref_worst,0.0039
reference,fineness=8x,,coeff_drift_rad_LWref_median,0.0021
reference,fineness=8x,,coeff_drift_rad_highorderref_worst,0.0000
reference,fineness=8x,upwind,coeff_drift_rad_LWref,0.0002
reference,fineness=8x,lax_friedrichs,coeff_drift_rad_LWref,0.0002
reference,fineness=8x,lax_wendroff,coeff_drift_rad_LWref,0.0039
reference,fineness=8x,beam_warming,coeff_drift_rad_LWref,0.0039
library_filter,{u_xx,u_xxx},native(64),diff_vs_disp,0.8667
library_filter,{u_xx,u_xxx},native(64),perm_floor,0.4625
library_filter,{u_xx,u_xxx},coarsen64,diff_vs_disp,0.8542
library_filter,{u_xx,u_xxx},coarsen64,perm_floor,0.4667
library_filter,{u_xx,u_xxx},coarsen48,diff_vs_disp,0.9083
library_filter,{u_xx,u_xxx},coarsen48,perm_floor,0.4625
library_filter,{u_xx,u_xxx},coarsen32,diff_vs_disp,0.9667
library_filter,{u_xx,u_xxx},coarsen32,perm_floor,0.4563
library_filter,{u_xx,u_xxx},smooth+64,diff_vs_disp,0.9625
library_filter,{u_xx,u_xxx},smooth+64,perm_floor,0.4563
library_filter,{u_xx,u_xxx,u_xxxx},native(64),diff_vs_disp,1.0000
library_filter,{u_xx,u_xxx,u_xxxx},native(64),perm_floor,0.4708
library_filter,{u_xx,u_xxx,u_xxxx},coarsen64,diff_vs_disp,1.0000
library_filter,{u_xx,u_xxx,u_xxxx},coarsen64,perm_floor,0.4667
library_filter,{u_xx,u_xxx,u_xxxx},coarsen48,diff_vs_disp,1.0000
library_filter,{u_xx,u_xxx,u_xxxx},coarsen48,perm_floor,0.4688
library_filter,{u_xx,u_xxx,u_xxxx},coarsen32,diff_vs_disp,0.9917
library_filter,{u_xx,u_xxx,u_xxxx},coarsen32,perm_floor,0.4688
library_filter,{u_xx,u_xxx,u_xxxx},smooth+64,diff_vs_disp,1.0000
