type,direction,sigma,alpha,delta_alpha,sensitivity,detection_limit_delta_alpha,dl_ci_lo,dl_ci_hi,fpr_at_alpha1,frac_censored
curve,weaken,0.00,1.0,0.0,0.000000,,,,,
curve,weaken,0.00,0.9,0.1,0.312500,,,,,
curve,weaken,0.00,0.8,0.2,0.587500,,,,,
curve,weaken,0.00,0.7,0.3,0.900000,,,,,
curve,weaken,0.00,0.6,0.4,0.975000,,,,,
curve,weaken,0.00,0.5,0.5,1.000000,,,,,
curve,weaken,0.00,0.4,0.6,1.000000,,,,,
curve,weaken,0.00,0.3,0.7,1.000000,,,,,
curve,weaken,0.00,0.2,0.8,1.000000,,,,,
curve,weaken,0.00,0.1,0.9,1.000000,,,,,
curve,weaken,0.00,0.0,1.0,1.000000,,,,,
limit,weaken,0.00,,,,0.367,0.278,0.385,0.000000,0.000
curve,weaken,0.01,1.0,0.0,0.000000,,,,,
curve,weaken,0.01,0.9,0.1,0.175000,,,,,
curve,weaken,0.01,0.8,0.2,0.437500,,,,,
curve,weaken,0.01,0.7,0.3,0.575000,,,,,
curve,weaken,0.01,0.6,0.4,0.800000,,,,,
curve,weaken,0.01,0.5,0.5,0.962500,,,,,
curve,weaken,0.01,0.4,0.6,0.987500,,,,,
curve,weaken,0.01,0.3,0.7,1.000000,,,,,
curve,weaken,0.01,0.2,0.8,1.000000,,,,,
curve,weaken,0.01,0.1,0.9,1.000000,,,,,
curve,weaken,0.01,0.0,1.0,1.000000,,,,,
limit,weaken,0.01,,,,0.492,0.366,>1.0,0.000000,0.035
curve,weaken,0.05,1.0,0.0,0.000000,,,,,
curve,weaken,0.05,0.9,0.1,0.225000,,,,,
curve,weaken,0.05,0.8,0.2,0.512500,,,,,
curve,weaken,0.05,0.7,0.3,0.725000,,,,,
curve,weaken,0.05,0.6,0.4,0.800000,,,,,
curve,weaken,0.05,0.5,0.5,0.850000,,,,,
curve,weaken,0.05,0.4,0.6,0.850000,,,,,
curve,weaken,0.05,0.3,0.7,0.850000,,,,,
curve,weaken,0.05,0.2,0.8,0.850000,,,,,
curve,weaken,0.05,0.1,0.9,0.887500,,,,,
curve,weaken,0.05,0.0,1.0,0.950000,,,,,
limit,weaken,0.05,,,,1.000,0.291,>1.0,0.000000,0.245
curve,strengthen,0.00,1.0,0.0,0.000000,,,,,
curve,strengthen,0.00,1.1,0.1,0.425000,,,,,
curve,strengthen,0.00,1.2,0.2,0.837500,,,,,
curve,strengthen,0.00,1.3,0.3,0.975000,,,,,
curve,strengthen,0.00,1.4,0.4,1.000000,,,,,
curve,strengthen,0.00,1.5,0.5,1.000000,,,,,
curve,strengthen,0.00,1.6,0.6,1.000000,,,,,
curve,strengthen,0.00,1.7,0.7,1.000000,,,,,
curve,strengthen,0.00,1.8,0.8,1.000000,,,,,
curve,strengthen,0.00,1.9,0.9,1.000000,,,,,
curve,strengthen,0.00,2.0,1.0,1.000000,,,,,
limit,strengthen,0.00,,,,0.282,0.220,0.300,0.000000,0.000
curve,strengthen,0.01,1.0,0.0,0.000000,,,,,
curve,strengthen,0.01,1.1,0.1,0.312500,,,,,
curve,strengthen,0.01,1.2,0.2,0.575000,,,,,
curve,strengthen,0.01,1.3,0.3,0.887500,,,,,
curve,strengthen,0.01,1.4,0.4,0.937500,,,,,
curve,strengthen,0.01,1.5,0.5,0.987500,,,,,
curve,strengthen,0.01,1.6,0.6,1.000000,,,,,
curve,strengthen,0.01,1.7,0.7,1.000000,,,,,
curve,strengthen,0.01,1.8,0.8,1.000000,,,,,
curve,strengthen,0.01,1.9,0.9,1.000000,,,,,
curve,strengthen,0.01,2.0,1.0,1.000000,,,,,
limit,strengthen,0.01,,,,0.425,0.300,0.477,0.000000,0.000
curve,strengthen,0.05,1.0,0.0,0.000000,,,,,
curve,strengthen,0.05,1.1,0.1,0.175000,,,,,
curve,strengthen,0.05,1.2,0.2,0.775000,,,,,
curve,strengthen,0.05,1.3,0.3,1.000000,,,,,
curve,strengthen,0.05,1.4,0.4,1.000000,,,,,
curve,strengthen,0.05,1.5,0.5,1.000000,,,,,
curve,strengthen,0.05,1.6,0.6,1.000000,,,,,
curve,strengthen,0.05,1.7,0.7,1.000000,,,,,
curve,strengthen,0.05,1.8,0.8,1.000000,,,,,
curve,strengthen,0.05,1.9,0.9,1.000000,,,,,
curve,strengthen,0.05,2.0,1.0,1.000000,,,,,
limit,strengthen,0.05,,,,0.278,0.192,0.382,0.000000,0.000
