normalized,obs_model,noise,distinction,downsample,obs_pts,accuracy
0,raw,0.0,diff_disp,1,256,0.9940
0,raw,0.0,lw_bw,1,256,0.7820
0,raw,0.0,four,1,256,0.7500
1,raw,0.0,diff_disp,1,256,0.9550
1,raw,0.0,lw_bw,1,256,0.7020
1,raw,0.0,four,1,256,0.6020
0,raw,0.0,diff_disp,2,128,0.9930
0,raw,0.0,lw_bw,2,128,0.7180
0,raw,0.0,four,2,128,0.7330
1,raw,0.0,diff_disp,2,128,0.7440
1,raw,0.0,lw_bw,2,128,0.5380
1,raw,0.0,four,2,128,0.4140
0,raw,0.0,diff_disp,4,64,0.9940
0,raw,0.0,lw_bw,4,64,0.6960
0,raw,0.0,four,4,64,0.7120
1,raw,0.0,diff_disp,4,64,0.7420
1,raw,0.0,lw_bw,4,64,0.5020
1,raw,0.0,four,4,64,0.3760
0,raw,0.0,diff_disp,8,32,0.9940
0,raw,0.0,lw_bw,8,32,0.7020
0,raw,0.0,four,8,32,0.7120
1,raw,0.0,diff_disp,8,32,0.7370
1,raw,0.0,lw_bw,8,32,0.4960
1,raw,0.0,four,8,32,0.3600
0,raw,0.0,diff_disp,16,16,0.9960
0,raw,0.0,lw_bw,16,16,0.7060
0,raw,0.0,four,16,16,0.7230
1,raw,0.0,diff_disp,16,16,0.7100
1,raw,0.0,lw_bw,16,16,0.5020
1,raw,0.0,four,16,16,0.3570
0,raw,0.0,diff_disp,32,8,0.9820
0,raw,0.0,lw_bw,32,8,0.6400
0,raw,0.0,four,32,8,0.6730
1,raw,0.0,diff_disp,32,8,0.5700
1,raw,0.0,lw_bw,32,8,0.5060
1,raw,0.0,four,32,8,0.2840
0,antialias,0.0,diff_disp,1,256,0.9940
0,antialias,0.0,lw_bw,1,256,0.7820
0,antialias,0.0,four,1,256,0.7500
1,antialias,0.0,diff_disp,1,256,0.9550
1,antialias,0.0,lw_bw,1,256,0.7020
1,antialias,0.0,four,1,256,0.6020
0,antialias,0.0,diff_disp,2,128,0.9960
0,antialias,0.0,lw_bw,2,128,0.7820
0,antialias,0.0,four,2,128,0.7510
1,antialias,0.0,diff_disp,2,128,0.9550
1,antialias,0.0,lw_bw,2,128,0.7020
1,antialias,0.0,four,2,128,0.5980
0,antialias,0.0,diff_disp,4,64,0.9960
0,antialias,0.0,lw_bw,4,64,0.7540
0,antialias,0.0,four,4,64,0.7310
1,antialias,0.0,diff_disp,4,64,0.9570
1,antialias,0.0,lw_bw,4,64,0.6880
1,antialias,0.0,four,4,64,0.5940
0,antialias,0.0,diff_disp,8,32,0.9960
0,antialias,0.0,lw_bw,8,32,0.7700
0,antialias,0.0,four,8,32,0.7320
1,antialias,0.0,diff_disp,8,32,0.9570
1,antialias,0.0,lw_bw,8,32,0.7000
1,antialias,0.0,four,8,32,0.5980
0,antialias,0.0,diff_disp,16,16,0.9960
0,antialias,0.0,lw_bw,16,16,0.7640
0,antialias,0.0,four,16,16,0.7380
1,antialias,0.0,diff_disp,16,16,0.9540
1,antialias,0.0,lw_bw,16,16,0.6980
1,antialias,0.0,four,16,16,0.5930
0,antialias,0.0,diff_disp,32,8,0.9670
0,antialias,0.0,lw_bw,32,8,0.6800
0,antialias,0.0,four,32,8,0.6620
1,antialias,0.0,diff_disp,32,8,0.8880
1,antialias,0.0,lw_bw,32,8,0.6500
1,antialias,0.0,four,32,8,0.5180
0,raw,0.01,diff_disp,1,256,0.9960
0,raw,0.01,lw_bw,1,256,0.6300
0,raw,0.01,four,1,256,0.6890
1,raw,0.01,diff_disp,1,256,0.6790
1,raw,0.01,lw_bw,1,256,0.4680
1,raw,0.01,four,1,256,0.3300
0,raw,0.01,diff_disp,2,128,0.9940
0,raw,0.01,lw_bw,2,128,0.6660
0,raw,0.01,four,2,128,0.7110
1,raw,0.01,diff_disp,2,128,0.7070
1,raw,0.01,lw_bw,2,128,0.4960
1,raw,0.01,four,2,128,0.3390
0,raw,0.01,diff_disp,4,64,0.9920
0,raw,0.01,lw_bw,4,64,0.7040
0,raw,0.01,four,4,64,0.7300
1,raw,0.01,diff_disp,4,64,0.7260
1,raw,0.01,lw_bw,4,64,0.5120
1,raw,0.01,four,4,64,0.3960
0,raw,0.01,diff_disp,8,32,0.9930
0,raw,0.01,lw_bw,8,32,0.7200
0,raw,0.01,four,8,32,0.7350
1,raw,0.01,diff_disp,8,32,0.7380
1,raw,0.01,lw_bw,8,32,0.4960
1,raw,0.01,four,8,32,0.3830
0,raw,0.01,diff_disp,16,16,0.9940
0,raw,0.01,lw_bw,16,16,0.7160
0,raw,0.01,four,16,16,0.7250
1,raw,0.01,diff_disp,16,16,0.6890
1,raw,0.01,lw_bw,16,16,0.4880
1,raw,0.01,four,16,16,0.3350
0,raw,0.01,diff_disp,32,8,0.9820
0,raw,0.01,lw_bw,32,8,0.6380
0,raw,0.01,four,32,8,0.6760
1,raw,0.01,diff_disp,32,8,0.5720
1,raw,0.01,lw_bw,32,8,0.5040
1,raw,0.01,four,32,8,0.2840
0,antialias,0.01,diff_disp,1,256,0.9960
0,antialias,0.01,lw_bw,1,256,0.6300
0,antialias,0.01,four,1,256,0.6890
1,antialias,0.01,diff_disp,1,256,0.6790
1,antialias,0.01,lw_bw,1,256,0.4680
1,antialias,0.01,four,1,256,0.3300
0,antialias,0.01,diff_disp,2,128,0.9970
0,antialias,0.01,lw_bw,2,128,0.6640
0,antialias,0.01,four,2,128,0.7080
1,antialias,0.01,diff_disp,2,128,0.7070
1,antialias,0.01,lw_bw,2,128,0.4780
1,antialias,0.01,four,2,128,0.3530
0,antialias,0.01,diff_disp,4,64,0.9930
0,antialias,0.01,lw_bw,4,64,0.6980
0,antialias,0.01,four,4,64,0.7280
1,antialias,0.01,diff_disp,4,64,0.7350
1,antialias,0.01,lw_bw,4,64,0.4740
1,antialias,0.01,four,4,64,0.3510
0,antialias,0.01,diff_disp,8,32,0.9960
0,antialias,0.01,lw_bw,8,32,0.7040
0,antialias,0.01,four,8,32,0.7240
1,antialias,0.01,diff_disp,8,32,0.7290
1,antialias,0.01,lw_bw,8,32,0.5320
1,antialias,0.01,four,8,32,0.3830
0,antialias,0.01,diff_disp,16,16,0.9960
0,antialias,0.01,lw_bw,16,16,0.7140
0,antialias,0.01,four,16,16,0.7310
1,antialias,0.01,diff_disp,16,16,0.7360
1,antialias,0.01,lw_bw,16,16,0.5360
1,antialias,0.01,four,16,16,0.3930
0,antialias,0.01,diff_disp,32,8,0.9800
0,antialias,0.01,lw_bw,32,8,0.6540
0,antialias,0.01,four,32,8,0.6760
1,antialias,0.01,diff_disp,32,8,0.6770
1,antialias,0.01,lw_bw,32,8,0.4920
1,antialias,0.01,four,32,8,0.3380
0,raw,0.05,diff_disp,1,256,0.9960
0,raw,0.05,lw_bw,1,256,0.6380
0,raw,0.05,four,1,256,0.6980
1,raw,0.05,diff_disp,1,256,0.6730
1,raw,0.05,lw_bw,1,256,0.5320
1,raw,0.05,four,1,256,0.3440
0,raw,0.05,diff_disp,2,128,0.9950
0,raw,0.05,lw_bw,2,128,0.6700
0,raw,0.05,four,2,128,0.7100
1,raw,0.05,diff_disp,2,128,0.6700
1,raw,0.05,lw_bw,2,128,0.5400
1,raw,0.05,four,2,128,0.3520
0,raw,0.05,diff_disp,4,64,0.9920
0,raw,0.05,lw_bw,4,64,0.6800
0,raw,0.05,four,4,64,0.7090
1,raw,0.05,diff_disp,4,64,0.6740
1,raw,0.05,lw_bw,4,64,0.5060
1,raw,0.05,four,4,64,0.3430
