Pe,scheme,alpha,Twall_max,Twall_mean,Nu_mean,Tbulk_out,hotspot_x,hotspot_y
50,galerkin,0.0000000000,19.1922884226,14.6834152299,12.4254160832,2.0997026346,1.8500000000,0.0000000000
50,supg,1.0000000000,19.1737218738,14.7307826106,12.3489972390,2.0996725895,1.8500000000,0.0000000000
50,supg,0.5000000000,19.1842410240,14.7074528427,12.3864082189,2.0996863625,1.8500000000,0.0000000000
50,supg,2.0000000000,19.1456354470,14.7753217519,12.2787611424,2.0996311599,1.8500000000,0.0000000000
50,artvisc,1.0000000000,11.9669167972,9.2867211255,20.1715010457,2.0997844381,1.8000000000,0.0000000000
100,galerkin,0.0000000000,30.4674578651,23.0372068044,15.7452379596,2.0994676990,1.9000000000,0.0000000000
100,supg,1.0000000000,30.3599055066,23.1221645614,15.5709686499,2.0994182539,1.9000000000,0.0000000000
100,supg,0.5000000000,30.4184280004,23.0806530842,15.6554015487,2.0994368414,1.9000000000,0.0000000000
100,supg,2.0000000000,30.2461835750,23.1991945989,15.4176173610,2.0993904234,1.8500000000,0.0000000000
100,artvisc,1.0000000000,13.5672433961,10.4830961408,35.3929943805,2.0998237807,1.8500000000,0.0000000000
200,galerkin,0.0000000000,48.2149750577,36.1332670553,20.2146163245,2.0998409808,1.9000000000,0.0000000000
200,supg,1.0000000000,48.0384316513,36.2607851635,19.8454089141,2.0997969600,1.9000000000,0.0000000000
200,supg,0.5000000000,48.1447323206,36.1997839319,20.0182188832,2.0998132979,1.9000000000,0.0000000000
200,supg,2.0000000000,47.7371983634,36.3674446819,19.5535552408,2.0997815976,1.9000000000,0.0000000000
200,artvisc,1.0000000000,14.6968652840,11.3255447990,65.1910343066,2.0998173884,1.8500000000,0.0000000000
