pair,kind,k_nyquist,sigma,dprime_raw,dfeat_matched,predicted_auroc,measured_coef
upwi/lax_,diff-vs-disp (easy),3,0.020,0.439,0.654,0.5870,0.7640
upwi/lax_,diff-vs-disp (easy),3,0.080,0.659,0.630,0.6292,0.6480
upwi/lax_,diff-vs-disp (easy),3,0.200,0.747,0.312,0.6457,0.4720
upwi/lax_,diff-vs-disp (easy),4,0.020,0.675,0.677,0.6321,0.8380
upwi/lax_,diff-vs-disp (easy),4,0.080,0.826,0.612,0.6602,0.7720
upwi/lax_,diff-vs-disp (easy),4,0.200,0.888,0.346,0.6715,0.6260
upwi/lax_,diff-vs-disp (easy),6,0.020,0.688,1.304,0.6346,0.9880
upwi/lax_,diff-vs-disp (easy),6,0.080,0.779,0.940,0.6516,0.8560
upwi/lax_,diff-vs-disp (easy),6,0.200,0.861,0.820,0.6666,0.7880
upwi/lax_,diff-vs-disp (easy),8,0.020,0.825,1.561,0.6600,0.9820
upwi/lax_,diff-vs-disp (easy),8,0.080,0.795,1.209,0.6546,0.9100
upwi/lax_,diff-vs-disp (easy),8,0.200,0.851,0.909,0.6648,0.8480
upwi/lax_,diff-vs-disp (easy),12,0.020,1.062,1.955,0.7024,1.0000
upwi/lax_,diff-vs-disp (easy),12,0.080,1.070,1.243,0.7036,0.9920
upwi/lax_,diff-vs-disp (easy),12,0.200,1.133,1.043,0.7145,0.9480
upwi/lax_,diff-vs-disp (easy),16,0.020,1.259,1.791,0.7355,1.0000
upwi/lax_,diff-vs-disp (easy),16,0.080,1.315,1.403,0.7446,0.9860
upwi/lax_,diff-vs-disp (easy),16,0.200,1.368,0.555,0.7530,0.9840
upwi/beam,diff-vs-disp (easy),3,0.020,0.441,0.657,0.5872,0.7540
upwi/beam,diff-vs-disp (easy),3,0.080,0.668,0.558,0.6307,0.6700
upwi/beam,diff-vs-disp (easy),3,0.200,0.754,0.316,0.6469,0.4720
upwi/beam,diff-vs-disp (easy),4,0.020,0.665,0.779,0.6303,0.8380
upwi/beam,diff-vs-disp (easy),4,0.080,0.816,0.737,0.6584,0.7640
upwi/beam,diff-vs-disp (easy),4,0.200,0.882,0.455,0.6704,0.6680
upwi/beam,diff-vs-disp (easy),6,0.020,0.690,1.301,0.6349,0.9460
upwi/beam,diff-vs-disp (easy),6,0.080,0.765,1.036,0.6489,0.9060
upwi/beam,diff-vs-disp (easy),6,0.200,0.843,0.978,0.6633,0.8300
upwi/beam,diff-vs-disp (easy),8,0.020,0.791,1.438,0.6537,0.9880
upwi/beam,diff-vs-disp (easy),8,0.080,0.768,1.148,0.6496,0.9260
upwi/beam,diff-vs-disp (easy),8,0.200,0.834,1.093,0.6617,0.9260
upwi/beam,diff-vs-disp (easy),12,0.020,1.064,1.853,0.7027,0.9920
upwi/beam,diff-vs-disp (easy),12,0.080,1.068,0.926,0.7033,0.9700
upwi/beam,diff-vs-disp (easy),12,0.200,1.131,0.633,0.7141,0.6900
