method,level,diff_disp,lw_bw,angle_err_deg,c3_sign_acc,fail_rate
interp+FD,uniform-64,1.0000,0.9938,9.48,0.994,0.000
MLS,uniform-64,0.9719,0.9688,2.36,0.994,0.000
weak-form,uniform-64,0.9656,0.9812,4.91,0.994,0.000
interp+FD,jitter-25%,1.0000,0.9938,11.25,1.000,0.000
MLS,jitter-25%,0.9594,0.9688,3.80,0.994,0.000
weak-form,jitter-25%,0.9531,0.9875,3.34,0.994,0.000
interp+FD,jitter-50%,1.0000,0.9938,6.60,0.994,0.000
MLS,jitter-50%,0.9656,0.9812,0.70,0.994,0.000
weak-form,jitter-50%,0.9500,0.9938,0.17,0.994,0.000
interp+FD,jit50+miss30%,0.9844,0.9938,13.69,1.000,0.000
MLS,jit50+miss30%,0.9125,0.9812,10.17,0.994,0.000
weak-form,jit50+miss30%,0.7969,0.9812,0.52,1.000,0.000
interp+FD,warp+jit50+miss50,0.8594,0.9250,1.04,0.950,0.000
MLS,warp+jit50+miss50,0.8344,0.9625,2.15,0.969,0.000
weak-form,warp+jit50+miss50,0.7562,0.9062,0.92,0.944,0.000
