task,margin_frac,accuracy,perm_floor,gap,chance,note
upwind_vs_central_FULLDOMAIN,0.0000,0.8750,0.4375,0.4375,0.500,margin 0.00 each end
upwind_vs_central_interior,0.0200,0.9333,0.4875,0.4458,0.500,margin 0.02 each end
upwind_vs_central_interior,0.0400,0.9500,0.4667,0.4833,0.500,margin 0.04 each end
upwind_vs_central_interior,0.0600,0.9500,0.4667,0.4833,0.500,margin 0.06 each end
upwind_vs_central_interior,0.0800,0.9417,0.4708,0.4708,0.500,margin 0.08 each end
upwind_vs_central_interior,0.1200,0.9333,0.4458,0.4875,0.500,margin 0.12 each end
upwind_vs_central_interior,0.1600,0.9417,0.4583,0.4833,0.500,margin 0.16 each end
upwind_vs_central_interior,0.2000,0.8917,0.4667,0.4250,0.500,margin 0.20 each end
upwind_vs_central_dirichlet,0.0200,0.9750,0.4375,0.5375,0.500,per-BC-family interior (n=20)
upwind_vs_central_neumann,0.0200,0.9000,0.4250,0.4750,0.500,per-BC-family interior (n=20)
upwind_vs_central_inflow_out,0.0200,0.9000,0.4000,0.5000,0.500,per-BC-family interior (n=20)
NC1_ic_noise,0.0200,0.4167,0.4750,-0.0583,0.500,same scheme control (mean over 8 splits; sd=0.0777)
NC2_grid_change,0.0200,0.7417,0.4708,0.2708,0.500,grid confound (N_OBS 128 vs 192)
margin_needed,0.0200,,,,,interior margin (each end) for interior attribution
Pe,100.0000,,,,,advective Peclet aL/D
ref_selfconv_finest,2.668996e-03,,,,,reference self-convergence (worst)
bvp_layer_relL2,2.870610e-03,,,,,steady boundary-layer vs analytic BVP
