type,slice,grid_n,library,n_terms,noise,direction,alpha,delta_alpha,n_ic,n_noise,tpr,tpr_lo,tpr_hi,fpr_measured,fpr_lo,fpr_hi,fpr_target,mean_angle_deg,detection_limit_delta_alpha,limit_lo,limit_hi,limit_censored_fraction,interp_ms,ref_interp_ms,derivative_ms,lstsq_ms,design_matrix_mb,design_rows
nominal,grid,32,base5,5,white,weaken,1.0,0.0,60,5,,,,,,,0.05,,,,,,,,,,,
curve,grid,32,base5,5,white,weaken,0.9,0.1,60,5,0.241500,0.200817,0.287504,0.048833,0.031500,0.069500,0.05,2.8012,,,,,,,,,,
curve,grid,32,base5,5,white,weaken,0.8,0.2,60,5,0.569500,0.529833,0.613004,0.053167,0.035662,0.073167,0.05,4.8759,,,,,,,,,,
curve,grid,32,base5,5,white,weaken,0.7,0.3,60,5,0.823333,0.793663,0.850667,0.046500,0.027663,0.068504,0.05,7.2207,,,,,,,,,,
curve,grid,32,base5,5,white,weaken,0.6,0.4,60,5,0.954500,0.939333,0.968167,0.053167,0.032333,0.076167,0.05,9.7963,,,,,,,,,,
curve,grid,32,base5,5,white,weaken,0.5,0.5,60,5,0.996000,0.993000,0.998500,0.045333,0.024833,0.070342,0.05,12.2707,,,,,,,,,,
limit,grid,32,base5,5,white,weaken,,,60,5,,,,,,,0.05,12.2707,0.4,0.4,0.5,0.0000,,,,,,
nominal,grid,32,base5,5,white,strengthen,1.0,0.0,60,5,,,,,,,0.05,,,,,,,,,,,
curve,grid,32,base5,5,white,strengthen,1.1,0.1,60,5,0.193500,0.150667,0.241337,0.045667,0.026996,0.067175,0.05,2.5605,,,,,,,,,,
curve,grid,32,base5,5,white,strengthen,1.2,0.2,60,5,0.502833,0.448000,0.558167,0.047500,0.027500,0.070167,0.05,4.2877,,,,,,,,,,
curve,grid,32,base5,5,white,strengthen,1.3,0.3,60,5,0.775500,0.738662,0.813167,0.049000,0.029996,0.070833,0.05,6.0295,,,,,,,,,,
curve,grid,32,base5,5,white,strengthen,1.4,0.4,60,5,0.933667,0.915496,0.950333,0.051000,0.032333,0.071837,0.05,7.7682,,,,,,,,,,
curve,grid,32,base5,5,white,strengthen,1.5,0.5,60,5,0.975000,0.965833,0.983167,0.054500,0.035662,0.075837,0.05,9.2170,,,,,,,,,,
limit,grid,32,base5,5,white,strengthen,,,60,5,,,,,,,0.05,9.2170,0.5,0.4,0.5,0.0000,,,,,,
nominal,grid,48,base5,5,white,weaken,1.0,0.0,60,5,,,,,,,0.05,,,,,,,,,,,
curve,grid,48,base5,5,white,weaken,0.9,0.1,60,5,0.261167,0.216333,0.308512,0.057833,0.037829,0.080167,0.05,2.9709,,,,,,,,,,
curve,grid,48,base5,5,white,weaken,0.8,0.2,60,5,0.578833,0.520500,0.638504,0.050667,0.031996,0.070667,0.05,5.6329,,,,,,,,,,
curve,grid,48,base5,5,white,weaken,0.7,0.3,60,5,0.874167,0.838000,0.905012,0.047000,0.029000,0.066504,0.05,8.3061,,,,,,,,,,
curve,grid,48,base5,5,white,weaken,0.6,0.4,60,5,0.979000,0.967000,0.988833,0.045833,0.028333,0.067337,0.05,11.1788,,,,,,,,,,
curve,grid,48,base5,5,white,weaken,0.5,0.5,60,5,0.997333,0.992333,1.000000,0.062000,0.037329,0.088833,0.05,14.2607,,,,,,,,,,
limit,grid,48,base5,5,white,weaken,,,60,5,,,,,,,0.05,14.2607,0.4,0.4,0.4,0.0000,,,,,,
nominal,grid,48,base5,5,white,strengthen,1.0,0.0,60,5,,,,,,,0.05,,,,,,,,,,,
curve,grid,48,base5,5,white,strengthen,1.1,0.1,60,5,0.121833,0.083333,0.165000,0.046500,0.026833,0.068000,0.05,2.9073,,,,,,,,,,
curve,grid,48,base5,5,white,strengthen,1.2,0.2,60,5,0.389833,0.313321,0.466700,0.048500,0.024496,0.075667,0.05,5.4974,,,,,,,,,,
curve,grid,48,base5,5,white,strengthen,1.3,0.3,60,5,0.667167,0.596829,0.732342,0.042500,0.022329,0.067333,0.05,8.2010,,,,,,,,,,
curve,grid,48,base5,5,white,strengthen,1.4,0.4,60,5,0.908333,0.879996,0.932338,0.049667,0.031163,0.070000,0.05,10.8304,,,,,,,,,,
curve,grid,48,base5,5,white,strengthen,1.5,0.5,60,5,0.972833,0.963000,0.981667,0.051000,0.034329,0.070171,0.05,13.1689,,,,,,,,,,
limit,grid,48,base5,5,white,strengthen,,,60,5,,,,,,,0.05,13.1689,0.5,0.5,0.5,0.0000,,,,,,
nominal,grid|library|noise,64,base5,5,white,weaken,1.0,0.0,60,5,,,,,,,0.05,,,,,,,,,,,
curve,grid|library|noise,64,base5,5,white,weaken,0.9,0.1,60,5,0.228667,0.173825,0.280504,0.051333,0.029496,0.075350,0.05,2.4053,,,,,,,,,,
