reading,source,regime,dense_minus_sparse
matched_restricted,E2,nz0.0/p64,0.0000
matched_restricted,E2,nz0.0/p16,-0.0006
matched_restricted,E2,nz0.01/p256,0.0000
matched_restricted,E2,nz0.01/p64,0.0000
matched_restricted,E2,nz0.01/p16,0.0144
matched_restricted,E2,nz0.05/p256,0.0001
matched_restricted,E2,nz0.05/p64,0.0000
matched_restricted,E2,nz0.05/p16,0.0199
matched_restricted,E3,transfer,0.0320
matched_restricted,E4,clean/scheme,0.0000
matched_restricted,E4,degraded(64,5%)/scheme,0.0000
matched_rich,E2,nz0.0/p64,-0.0006
matched_rich,E2,nz0.0/p16,0.0678
matched_rich,E2,nz0.01/p256,0.0000
matched_rich,E2,nz0.01/p64,0.1256
matched_rich,E2,nz0.01/p16,0.0859
matched_rich,E2,nz0.05/p256,0.0021
matched_rich,E2,nz0.05/p64,0.0929
matched_rich,E2,nz0.05/p16,0.1798
matched_rich,E3,transfer,0.1635
matched_rich,E4,clean/scheme,0.0000
matched_rich,E4,degraded(64,5%)/scheme,0.0289
prereg_literal,E2,nz0.0/p64,0.0000
prereg_literal,E2,nz0.0/p16,-0.0520
prereg_literal,E2,nz0.01/p256,0.0000
prereg_literal,E2,nz0.01/p64,0.1256
prereg_literal,E2,nz0.01/p16,0.0197
prereg_literal,E2,nz0.05/p256,0.0333
prereg_literal,E2,nz0.05/p64,0.0930
prereg_literal,E2,nz0.05/p16,0.1433
prereg_literal,E3,transfer,0.2107
prereg_literal,E4,clean/scheme,0.0000
prereg_literal,E4,degraded(64,5%)/scheme,0.0289
