regime,noise,task,accuracy,perm_floor,chance,note
spectral,noise-free,ID3_Lie_Strang_IMEX,0.9611,0.3278,0.333,3-way splitting ID
spectral,noise-free,Lie_vs_Strang,0.9417,0.4583,0.500,1st-vs-2nd order splitting
spectral,noise-free,Lie_vs_IMEX,1.0000,0.5000,0.500,reaction-leg (exact vs FE)
spectral,noise-free,Strang_vs_IMEX,1.0000,0.4792,0.500,pairwise
spectral,noise-free,NC1_ic_noise,0.5111,,0.500,same-scheme control sd=0.055
spectral,1e-4,ID3_Lie_Strang_IMEX,0.9667,0.3278,0.333,3-way splitting ID
spectral,1e-4,Lie_vs_Strang,0.9250,0.4958,0.500,1st-vs-2nd order splitting
spectral,1e-4,Lie_vs_IMEX,1.0000,0.4875,0.500,reaction-leg (exact vs FE)
spectral,1e-4,Strang_vs_IMEX,1.0000,0.4875,0.500,pairwise
spectral,1e-4,NC1_ic_noise,0.5056,,0.500,same-scheme control sd=0.097
spectral,1e-3,ID3_Lie_Strang_IMEX,0.5833,0.3194,0.333,3-way splitting ID
spectral,1e-3,Lie_vs_Strang,0.4750,0.4375,0.500,1st-vs-2nd order splitting
spectral,1e-3,Lie_vs_IMEX,0.8417,0.4583,0.500,reaction-leg (exact vs FE)
spectral,1e-3,Strang_vs_IMEX,0.8833,0.4792,0.500,pairwise
spectral,1e-3,NC1_ic_noise,0.4444,,0.500,same-scheme control sd=0.088
spectral,1e-2 (1%),ID3_Lie_Strang_IMEX,0.3389,0.3167,0.333,3-way splitting ID
spectral,1e-2 (1%),Lie_vs_Strang,0.4167,0.4875,0.500,1st-vs-2nd order splitting
spectral,1e-2 (1%),Lie_vs_IMEX,0.5917,0.4750,0.500,reaction-leg (exact vs FE)
spectral,1e-2 (1%),Strang_vs_IMEX,0.5417,0.4917,0.500,pairwise
spectral,1e-2 (1%),NC1_ic_noise,0.4222,,0.500,same-scheme control sd=0.053
spectral,noise-free,NC2_dt_change,0.7333,0.4667,0.500,dt-change confound
fd,noise-free,ID3_Lie_Strang_IMEX,0.8833,0.3194,0.333,3-way splitting ID
fd,noise-free,Lie_vs_Strang,0.8583,0.4917,0.500,1st-vs-2nd order splitting
fd,noise-free,Lie_vs_IMEX,1.0000,0.5000,0.500,reaction-leg (exact vs FE)
fd,noise-free,Strang_vs_IMEX,0.9917,0.4625,0.500,pairwise
fd,noise-free,NC1_ic_noise,0.5083,,0.500,same-scheme control sd=0.094
fd,1e-4,ID3_Lie_Strang_IMEX,0.9444,0.3083,0.333,3-way splitting ID
fd,1e-4,Lie_vs_Strang,0.9250,0.5000,0.500,1st-vs-2nd order splitting
fd,1e-4,Lie_vs_IMEX,1.0000,0.5042,0.500,reaction-leg (exact vs FE)
fd,1e-4,Strang_vs_IMEX,1.0000,0.4750,0.500,pairwise
fd,1e-4,NC1_ic_noise,0.4667,,0.500,same-scheme control sd=0.081
fd,1e-3,ID3_Lie_Strang_IMEX,0.5167,0.3139,0.333,3-way splitting ID
fd,1e-3,Lie_vs_Strang,0.4000,0.5167,0.500,1st-vs-2nd order splitting
fd,1e-3,Lie_vs_IMEX,0.8083,0.5042,0.500,reaction-leg (exact vs FE)
fd,1e-3,Strang_vs_IMEX,0.8083,0.4875,0.500,pairwise
fd,1e-3,NC1_ic_noise,0.4333,,0.500,same-scheme control sd=0.079
fd,1e-2 (1%),ID3_Lie_Strang_IMEX,0.3167,0.2944,0.333,3-way splitting ID
fd,1e-2 (1%),Lie_vs_Strang,0.5333,0.4833,0.500,1st-vs-2nd order splitting
fd,1e-2 (1%),Lie_vs_IMEX,0.3750,0.5042,0.500,reaction-leg (exact vs FE)
fd,1e-2 (1%),Strang_vs_IMEX,0.5000,0.4833,0.500,pairwise
fd,1e-2 (1%),NC1_ic_noise,0.4611,,0.500,same-scheme control sd=0.070
fd,noise-free,NC2_dt_change,0.5000,0.4500,0.500,dt-change confound
_,_,rms_residual_over_field_Lie,2.0303e-04,,,splitting residual / field RMS at dt
_,_,rms_residual_over_field_Strang,4.6562e-06,,,splitting residual / field RMS at dt
_,_,rms_residual_over_field_IMEX,5.9290e-03,,,splitting residual / field RMS at dt
_,_,order_Lie,1.0133,,1.0,observed temporal order
_,_,order_Strang,1.9292,,2.0,observed temporal order
_,_,order_IMEX,1.0006,,1.0,observed temporal order
_,_,ref_selfconv,8.427909e-07,,,reference self-convergence rel L2
