type,noise,control_role,direction,method,alpha,delta_alpha,n_ic,n_acquisitions,detector_replicates,grid_n,library,sigma,target_tpr,fpr_target,tpr,tpr_lo,tpr_hi,fpr_measured,fpr_lo,fpr_hi,detection_limit_delta_alpha,limit_lo,limit_hi,limit_censored_fraction,criterion,criterion_definition,pass
curve,white,positive_control,weaken,decision_average,0.9,0.1,60,5,5,64,base5,0.01,0.95,0.05,0.228667,0.173825,0.280504,0.051333,0.029496,0.075350,,,,,,,
curve,white,positive_control,weaken,decision_average,0.8,0.2,60,5,5,64,base5,0.01,0.95,0.05,0.581667,0.502492,0.655675,0.051500,0.031000,0.074500,,,,,,,
curve,white,positive_control,weaken,decision_average,0.7,0.3,60,5,5,64,base5,0.01,0.95,0.05,0.877333,0.840000,0.913004,0.045500,0.027000,0.066833,,,,,,,
curve,white,positive_control,weaken,decision_average,0.6,0.4,60,5,5,64,base5,0.01,0.95,0.05,0.997333,0.994833,0.999500,0.046500,0.026829,0.068667,,,,,,,
curve,white,positive_control,weaken,decision_average,0.5,0.5,60,5,5,64,base5,0.01,0.95,0.05,1.000000,1.000000,1.000000,0.051500,0.028996,0.077004,,,,,,,
limit,white,positive_control,weaken,decision_average,,,60,5,5,64,base5,0.01,0.95,0.05,,,,,,,0.4,0.4,0.4,0.0000,,,
curve,white,positive_control,weaken,field_average,0.9,0.1,60,5,1,64,base5,0.01,0.95,0.05,0.316667,0.217458,0.415833,0.052500,0.016667,0.097521,,,,,,,
curve,white,positive_control,weaken,field_average,0.8,0.2,60,5,1,64,base5,0.01,0.95,0.05,0.600000,0.486646,0.712500,0.046667,0.013333,0.091687,,,,,,,
curve,white,positive_control,weaken,field_average,0.7,0.3,60,5,1,64,base5,0.01,0.95,0.05,0.853333,0.779146,0.922500,0.042500,0.010000,0.085833,,,,,,,
curve,white,positive_control,weaken,field_average,0.6,0.4,60,5,1,64,base5,0.01,0.95,0.05,0.970833,0.940000,0.995833,0.050000,0.015000,0.097521,,,,,,,
curve,white,positive_control,weaken,field_average,0.5,0.5,60,5,1,64,base5,0.01,0.95,0.05,0.997500,0.993333,1.000000,0.042500,0.010813,0.085000,,,,,,,
limit,white,positive_control,weaken,field_average,,,60,5,1,64,base5,0.01,0.95,0.05,,,,,,,0.4,0.4,0.5,0.0000,,,
curve,white,positive_control,strengthen,decision_average,1.1,0.1,60,5,5,64,base5,0.01,0.95,0.05,0.215167,0.158833,0.275000,0.052833,0.031833,0.077508,,,,,,,
curve,white,positive_control,strengthen,decision_average,1.2,0.2,60,5,5,64,base5,0.01,0.95,0.05,0.545833,0.470492,0.619842,0.050667,0.031825,0.072833,,,,,,,
curve,white,positive_control,strengthen,decision_average,1.3,0.3,60,5,5,64,base5,0.01,0.95,0.05,0.814667,0.769158,0.859171,0.049333,0.030500,0.070837,,,,,,,
curve,white,positive_control,strengthen,decision_average,1.4,0.4,60,5,5,64,base5,0.01,0.95,0.05,0.968000,0.957500,0.977171,0.050500,0.031496,0.072333,,,,,,,
curve,white,positive_control,strengthen,decision_average,1.5,0.5,60,5,5,64,base5,0.01,0.95,0.05,0.998333,0.997000,0.999500,0.053833,0.031500,0.080167,,,,,,,
limit,white,positive_control,strengthen,decision_average,,,60,5,5,64,base5,0.01,0.95,0.05,,,,,,,0.4,0.4,0.4,0.0000,,,
curve,white,positive_control,strengthen,field_average,1.1,0.1,60,5,1,64,base5,0.01,0.95,0.05,0.144167,0.074167,0.225021,0.038333,0.005000,0.084167,,,,,,,
curve,white,positive_control,strengthen,field_average,1.2,0.2,60,5,1,64,base5,0.01,0.95,0.05,0.345000,0.244146,0.448354,0.045833,0.010000,0.090000,,,,,,,
