contrast,sigma,accuracy,perm_floor,gap,chance,note
presence_galerkin_vs_supg,0.0,1.0000,0.4688,0.5312,0.50,LOAD-BEARING
presence_galerkin_vs_supg,0.01,0.9750,0.4688,0.5062,0.50,LOAD-BEARING
presence_galerkin_vs_supg,0.05,0.9250,0.4813,0.4438,0.50,LOAD-BEARING
silenttau_supg_vs_0.5tau,0.0,0.9875,0.4906,0.4969,0.50,silent under-stab
silenttau_supg_vs_2tau,0.0,1.0000,0.4938,0.5062,0.50,silent over-stab
silenttau_3way_opt_half_dbl,0.0,0.9708,0.3250,0.6458,0.333,silent-stab taxonomy
silenttau_supg_vs_0.5tau,0.01,0.9563,0.4906,0.4656,0.50,silent under-stab
silenttau_supg_vs_2tau,0.01,1.0000,0.5031,0.4969,0.50,silent over-stab
silenttau_3way_opt_half_dbl,0.01,0.9458,0.3208,0.6250,0.333,silent-stab taxonomy
silenttau_supg_vs_0.5tau,0.05,0.8875,0.4813,0.4062,0.50,silent under-stab
silenttau_supg_vs_2tau,0.05,0.9938,0.5000,0.4938,0.50,silent over-stab
silenttau_3way_opt_half_dbl,0.05,0.9083,0.3229,0.5854,0.333,silent-stab taxonomy
type_supg_vs_artvisc_iso_matched,0.0,0.9875,0.4656,0.5219,0.50,anisotropic streamline vs isotropic Laplacian -- SEPARABLE operator-type WIN
type_supg_vs_artvisc_iso_matched,0.01,0.9938,0.4719,0.5219,0.50,anisotropic streamline vs isotropic Laplacian -- SEPARABLE operator-type WIN
type_supg_vs_artvisc_iso_matched,0.05,1.0000,0.4688,0.5312,0.50,anisotropic streamline vs isotropic Laplacian -- SEPARABLE operator-type WIN
consistency_supg_vs_streamdiff_inc,0.0,0.4813,0.5188,-0.0375,0.50,same anisotropic operator source-reweight only -- COLLINEARITY LIMIT (chance)
consistency_supg_vs_streamdiff_inc,0.01,0.4938,0.4875,0.0063,0.50,same anisotropic operator source-reweight only -- COLLINEARITY LIMIT (chance)
id5_all_schemes,0.01,0.9550,0.1862,0.7688,0.20,context
NC1_ic_noise_same_scheme,0.01,0.4625,0.5000,-0.0375,0.50,control-should-be-chance
NC2_mesh_resolution_change,0.01,1.0000,0.4906,0.5094,0.50,confound
cos_supg_artvisc_iso,0.01,0.3205,,,,signature angle (operator-type, separable)
cos_supg_streamdiff_inc,0.01,1.0000,,,,signature angle (consistency, collinear)
Pe_h_max,0.01,12.6269,,,,mesh Peclet
nu_art_over_D,0.01,6.9636,,,,matched added visc / physical
solver_validation,0.01,1.0,,,,conv_ok and gal_osc
