type,detector,direction,Pe,sigma,alpha,delta_alpha,n_ic,sensitivity,tpr_lo,tpr_hi,fpr_measured,fpr_lo,fpr_hi,fpr_target,detection_limit_delta_alpha,limit_lo,limit_hi,limit_censored_fraction
nominal,signature,weaken,50,0.00,1.0,0.0,60,,,,,,,0.05,,,,
curve,signature,weaken,50,0.00,0.9,0.1,60,0.178333,0.102479,0.265021,0.053333,0.018333,0.100000,0.05,,,,
curve,signature,weaken,50,0.00,0.8,0.2,60,0.417500,0.329167,0.510833,0.040000,0.008333,0.081667,0.05,,,,
curve,signature,weaken,50,0.00,0.7,0.3,60,0.820833,0.755833,0.875833,0.050000,0.012500,0.100000,0.05,,,,
curve,signature,weaken,50,0.00,0.6,0.4,60,0.988333,0.967500,0.999167,0.051667,0.016646,0.099167,0.05,,,,
curve,signature,weaken,50,0.00,0.5,0.5,60,1.000000,1.000000,1.000000,0.043333,0.012479,0.082500,0.05,,,,
limit,signature,weaken,50,0.00,,,60,,,,,,,0.05,0.4,0.4,0.4,0.0000
nominal,thermal_pair,weaken,50,0.00,1.0,0.0,60,,,,,,,0.05,,,,
curve,thermal_pair,weaken,50,0.00,0.9,0.1,60,0.046667,0.013313,0.088354,0.038333,0.010000,0.073333,0.05,,,,
curve,thermal_pair,weaken,50,0.00,0.8,0.2,60,0.065000,0.026667,0.113333,0.054167,0.021646,0.095854,0.05,,,,
curve,thermal_pair,weaken,50,0.00,0.7,0.3,60,0.062500,0.026667,0.106667,0.046667,0.019146,0.084167,0.05,,,,
curve,thermal_pair,weaken,50,0.00,0.6,0.4,60,0.100000,0.047500,0.162500,0.067500,0.027500,0.116667,0.05,,,,
curve,thermal_pair,weaken,50,0.00,0.5,0.5,60,0.071667,0.025000,0.129167,0.040833,0.010000,0.079167,0.05,,,,
limit,thermal_pair,weaken,50,0.00,,,60,,,,,,,0.05,>0.5,>0.5,>0.5,1.0000
nominal,Twall_max,weaken,50,0.00,1.0,0.0,60,,,,,,,0.05,,,,
curve,Twall_max,weaken,50,0.00,0.9,0.1,60,0.054167,0.016667,0.105000,0.053333,0.015813,0.104167,0.05,,,,
curve,Twall_max,weaken,50,0.00,0.8,0.2,60,0.042500,0.009167,0.086667,0.041667,0.009167,0.086667,0.05,,,,
curve,Twall_max,weaken,50,0.00,0.7,0.3,60,0.049167,0.014167,0.095000,0.049167,0.014167,0.095000,0.05,,,,
curve,Twall_max,weaken,50,0.00,0.6,0.4,60,0.042500,0.008333,0.088333,0.042500,0.008333,0.088333,0.05,,,,
curve,Twall_max,weaken,50,0.00,0.5,0.5,60,0.048333,0.014167,0.097500,0.047500,0.013333,0.095854,0.05,,,,
limit,Twall_max,weaken,50,0.00,,,60,,,,,,,0.05,>0.5,>0.5,>0.5,1.0000
nominal,Nu_mean,weaken,50,0.00,1.0,0.0,60,,,,,,,0.05,,,,
curve,Nu_mean,weaken,50,0.00,0.9,0.1,60,0.076667,0.028333,0.137500,0.058333,0.020813,0.106667,0.05,,,,
curve,Nu_mean,weaken,50,0.00,0.8,0.2,60,0.093333,0.038333,0.164167,0.054167,0.017500,0.101667,0.05,,,,
curve,Nu_mean,weaken,50,0.00,0.7,0.3,60,0.075000,0.020000,0.139187,0.043333,0.009167,0.089167,0.05,,,,
curve,Nu_mean,weaken,50,0.00,0.6,0.4,60,0.090000,0.036667,0.156667,0.050000,0.015833,0.095833,0.05,,,,
curve,Nu_mean,weaken,50,0.00,0.5,0.5,60,0.094167,0.037479,0.161687,0.054167,0.016667,0.102500,0.05,,,,
limit,Nu_mean,weaken,50,0.00,,,60,,,,,,,0.05,>0.5,>0.5,>0.5,1.0000
nominal,fullfield_T,weaken,50,0.00,1.0,0.0,60,,,,,,,0.05,,,,
curve,fullfield_T,weaken,50,0.00,0.9,0.1,60,0.132500,0.063313,0.216667,0.059167,0.021667,0.110000,0.05,,,,
curve,fullfield_T,weaken,50,0.00,0.8,0.2,60,0.212500,0.115000,0.318333,0.051667,0.015000,0.101667,0.05,,,,
curve,fullfield_T,weaken,50,0.00,0.7,0.3,60,0.227500,0.130000,0.337500,0.053333,0.017500,0.098333,0.05,,,,
curve,fullfield_T,weaken,50,0.00,0.6,0.4,60,0.240833,0.141667,0.344187,0.045000,0.006667,0.093354,0.05,,,,
curve,fullfield_T,weaken,50,0.00,0.5,0.5,60,0.225000,0.128333,0.338333,0.039167,0.008333,0.085000,0.05,,,,
limit,fullfield_T,weaken,50,0.00,,,60,,,,,,,0.05,>0.5,>0.5,>0.5,1.0000
nominal,signature,strengthen,50,0.00,1.0,0.0,60,,,,,,,0.05,,,,
curve,signature,strengthen,50,0.00,1.1,0.1,60,0.186667,0.107479,0.274187,0.038333,0.009167,0.076687,0.05,,,,
curve,signature,strengthen,50,0.00,1.2,0.2,60,0.323333,0.224979,0.435833,0.052500,0.016667,0.100021,0.05,,,,
curve,signature,strengthen,50,0.00,1.3,0.3,60,0.452500,0.354167,0.560021,0.046667,0.015813,0.087521,0.05,,,,
curve,signature,strengthen,50,0.00,1.4,0.4,60,0.523333,0.425000,0.624188,0.056667,0.018333,0.106667,0.05,,,,
curve,signature,strengthen,50,0.00,1.5,0.5,60,0.659167,0.578313,0.738354,0.045833,0.012500,0.091667,0.05,,,,
limit,signature,strengthen,50,0.00,,,60,,,,,,,0.05,>0.5,>0.5,>0.5,1.0000
nominal,thermal_pair,strengthen,50,0.00,1.0,0.0,60,,,,,,,0.05,,,,
curve,thermal_pair,strengthen,50,0.00,1.1,0.1,60,0.057500,0.018333,0.110000,0.052500,0.016667,0.100000,0.05,,,,
curve,thermal_pair,strengthen,50,0.00,1.2,0.2,60,0.069167,0.025000,0.123333,0.057500,0.019167,0.105000,0.05,,,,
curve,thermal_pair,strengthen,50,0.00,1.3,0.3,60,0.061667,0.018333,0.115021,0.045000,0.011667,0.085833,0.05,,,,
curve,thermal_pair,strengthen,50,0.00,1.4,0.4,60,0.072500,0.028333,0.125833,0.051667,0.018333,0.090854,0.05,,,,
curve,thermal_pair,strengthen,50,0.00,1.5,0.5,60,0.078333,0.030000,0.134208,0.059167,0.021667,0.103333,0.05,,,,
limit,thermal_pair,strengthen,50,0.00,,,60,,,,,,,0.05,>0.5,>0.5,>0.5,1.0000
nominal,Twall_max,strengthen,50,0.00,1.0,0.0,60,,,,,,,0.05,,,,
curve,Twall_max,strengthen,50,0.00,1.1,0.1,60,0.051667,0.010833,0.103333,0.049167,0.009167,0.100000,0.05,,,,
curve,Twall_max,strengthen,50,0.00,1.2,0.2,60,0.055833,0.016667,0.105875,0.051667,0.014167,0.099167,0.05,,,,
curve,Twall_max,strengthen,50,0.00,1.3,0.3,60,0.054167,0.012500,0.105000,0.053333,0.011667,0.104167,0.05,,,,
curve,Twall_max,strengthen,50,0.00,1.4,0.4,60,0.061667,0.020813,0.113333,0.059167,0.019167,0.109167,0.05,,,,
curve,Twall_max,strengthen,50,0.00,1.5,0.5,60,0.058333,0.017500,0.107521,0.054167,0.016667,0.100854,0.05,,,,
limit,Twall_max,strengthen,50,0.00,,,60,,,,,,,0.05,>0.5,>0.5,>0.5,1.0000
nominal,Nu_mean,strengthen,50,0.00,1.0,0.0,60,,,,,,,0.05,,,,
curve,Nu_mean,strengthen,50,0.00,1.1,0.1,60,0.054167,0.013333,0.110000,0.050000,0.012500,0.103333,0.05,,,,
curve,Nu_mean,strengthen,50,0.00,1.2,0.2,60,0.069167,0.023333,0.125000,0.055000,0.016646,0.101687,0.05,,,,
curve,Nu_mean,strengthen,50,0.00,1.3,0.3,60,0.074167,0.024167,0.135000,0.050833,0.012500,0.100021,0.05,,,,
curve,Nu_mean,strengthen,50,0.00,1.4,0.4,60,0.075000,0.026667,0.141687,0.054167,0.016667,0.105000,0.05,,,,
curve,Nu_mean,strengthen,50,0.00,1.5,0.5,60,0.085000,0.029167,0.146667,0.055833,0.017500,0.104187,0.05,,,,
limit,Nu_mean,strengthen,50,0.00,,,60,,,,,,,0.05,>0.5,>0.5,>0.5,1.0000
nominal,fullfield_T,strengthen,50,0.00,1.0,0.0,60,,,,,,,0.05,,,,
