type,mesh_id,solver_nx,solver_ny,solver_seed,solver_nodes,solver_elements,observation_grid_n,reference_nx,reference_ny,reference_seed,direction,alpha,delta_alpha,n_ic,noise_model,sigma,library,n_terms,tpr,tpr_lo,tpr_hi,fpr_measured,fpr_lo,fpr_hi,fpr_target,detection_limit_delta_alpha,limit_lo,limit_hi,limit_censored_fraction,anchor_limit_delta_alpha,limit_shift_from_anchor,degradation_delta_alpha,mesh_status,go_cell,protocol_hash
nominal,coarse_45x15,45,15,9015,736,1350,64,180,60,7001,weaken,1.0,0.0,60,white,0.01,base5,5,,,,,,,0.05,,,,,,,,,,768a398be9238049eceb4b08461b627e78ccd5af59ef3d08572e43ef4190582a
curve,coarse_45x15,45,15,9015,736,1350,64,180,60,7001,weaken,0.9,0.1,60,white,0.01,base5,5,0.225000,0.165000,0.287500,0.057500,0.020813,0.103333,0.05,,,,,,,,,,768a398be9238049eceb4b08461b627e78ccd5af59ef3d08572e43ef4190582a
curve,coarse_45x15,45,15,9015,736,1350,64,180,60,7001,weaken,0.8,0.2,60,white,0.01,base5,5,0.595000,0.520813,0.673333,0.057500,0.018333,0.106708,0.05,,,,,,,,,,768a398be9238049eceb4b08461b627e78ccd5af59ef3d08572e43ef4190582a
curve,coarse_45x15,45,15,9015,736,1350,64,180,60,7001,weaken,0.7,0.3,60,white,0.01,base5,5,0.835000,0.781667,0.883333,0.051667,0.018333,0.094167,0.05,,,,,,,,,,768a398be9238049eceb4b08461b627e78ccd5af59ef3d08572e43ef4190582a
curve,coarse_45x15,45,15,9015,736,1350,64,180,60,7001,weaken,0.6,0.4,60,white,0.01,base5,5,0.980833,0.965833,0.992500,0.050000,0.012500,0.100833,0.05,,,,,,,,,,768a398be9238049eceb4b08461b627e78ccd5af59ef3d08572e43ef4190582a
curve,coarse_45x15,45,15,9015,736,1350,64,180,60,7001,weaken,0.5,0.5,60,white,0.01,base5,5,0.999167,0.997500,1.000000,0.050833,0.014167,0.095833,0.05,,,,,,,,,,768a398be9238049eceb4b08461b627e78ccd5af59ef3d08572e43ef4190582a
limit,coarse_45x15,45,15,9015,736,1350,64,180,60,7001,weaken,,,60,white,0.01,base5,5,,,,,,,0.05,0.4,0.4,0.4,0.0000,0.4,0.0,0.0,preserved,1,768a398be9238049eceb4b08461b627e78ccd5af59ef3d08572e43ef4190582a
nominal,coarse_45x15,45,15,9015,736,1350,64,180,60,7001,strengthen,1.0,0.0,60,white,0.01,base5,5,,,,,,,0.05,,,,,,,,,,768a398be9238049eceb4b08461b627e78ccd5af59ef3d08572e43ef4190582a
curve,coarse_45x15,45,15,9015,736,1350,64,180,60,7001,strengthen,1.1,0.1,60,white,0.01,base5,5,0.281667,0.184979,0.382521,0.056667,0.019979,0.100021,0.05,,,,,,,,,,768a398be9238049eceb4b08461b627e78ccd5af59ef3d08572e43ef4190582a
curve,coarse_45x15,45,15,9015,736,1350,64,180,60,7001,strengthen,1.2,0.2,60,white,0.01,base5,5,0.764167,0.684167,0.845854,0.045000,0.013333,0.088333,0.05,,,,,,,,,,768a398be9238049eceb4b08461b627e78ccd5af59ef3d08572e43ef4190582a
curve,coarse_45x15,45,15,9015,736,1350,64,180,60,7001,strengthen,1.3,0.3,60,white,0.01,base5,5,0.950000,0.921646,0.975000,0.052500,0.016667,0.100833,0.05,,,,,,,,,,768a398be9238049eceb4b08461b627e78ccd5af59ef3d08572e43ef4190582a
curve,coarse_45x15,45,15,9015,736,1350,64,180,60,7001,strengthen,1.4,0.4,60,white,0.01,base5,5,0.988333,0.973333,0.998333,0.047500,0.014979,0.090000,0.05,,,,,,,,,,768a398be9238049eceb4b08461b627e78ccd5af59ef3d08572e43ef4190582a
curve,coarse_45x15,45,15,9015,736,1350,64,180,60,7001,strengthen,1.5,0.5,60,white,0.01,base5,5,0.999167,0.997500,1.000000,0.052500,0.019146,0.094167,0.05,,,,,,,,,,768a398be9238049eceb4b08461b627e78ccd5af59ef3d08572e43ef4190582a
limit,coarse_45x15,45,15,9015,736,1350,64,180,60,7001,strengthen,,,60,white,0.01,base5,5,,,,,,,0.05,0.3,0.3,0.4,0.0000,0.4,-0.1,0.0,improved,1,768a398be9238049eceb4b08461b627e78ccd5af59ef3d08572e43ef4190582a
nominal,anchor_60x20,60,20,2026,1281,2400,64,180,60,7001,weaken,1.0,0.0,60,white,0.01,base5,5,,,,,,,0.05,,,,,,,,,,768a398be9238049eceb4b08461b627e78ccd5af59ef3d08572e43ef4190582a
curve,anchor_60x20,60,20,2026,1281,2400,64,180,60,7001,weaken,0.9,0.1,60,white,0.01,base5,5,0.101667,0.061667,0.148333,0.047500,0.011667,0.094187,0.05,,,,,,,,,,768a398be9238049eceb4b08461b627e78ccd5af59ef3d08572e43ef4190582a
