config,sigma,component,mean,ci_lo,ci_hi,angular_ci_deg,config_pair,disjoint_on_some_component,overlap_on_all_components
galerkin,0.00,u_xx,-0.36170219,-0.36849872,-0.35512540,0.47024472,,,
galerkin,0.00,u_yy,-0.91633772,-0.91941751,-0.91309302,0.47024472,,,
galerkin,0.00,u_xy,0.17174490,0.16651141,0.17695332,0.47024472,,,
galerkin,0.00,u_xxx,0.00052918,0.00046180,0.00059536,0.47024472,,,
galerkin,0.00,u_yyy,-0.00032826,-0.00038945,-0.00026683,0.47024472,,,
galerkin,0.01,u_xx,-0.34498904,-0.35480928,-0.33389012,0.65840850,,,
galerkin,0.01,u_yy,-0.92260212,-0.92680804,-0.91859371,0.65840850,,,
galerkin,0.01,u_xy,0.17259059,0.16725189,0.17812989,0.65840850,,,
galerkin,0.01,u_xxx,0.00051839,0.00045241,0.00058398,0.65840850,,,
galerkin,0.01,u_yyy,-0.00032505,-0.00038832,-0.00026116,0.65840850,,,
supg,0.00,u_xx,-0.14218479,-0.22133292,-0.05184063,6.58191567,,,
supg,0.00,u_yy,-0.97580829,-0.98854027,-0.95615581,6.58191567,,,
supg,0.00,u_xy,0.16497082,0.07656977,0.26119921,6.58191567,,,
supg,0.00,u_xxx,0.01895685,0.01800279,0.01978003,6.58191567,,,
supg,0.00,u_yyy,-0.00263113,-0.00301533,-0.00219340,6.58191567,,,
supg,0.01,u_xx,-0.21166799,-0.25251051,-0.16597778,5.21695322,,,
supg,0.01,u_yy,-0.96216998,-0.97618415,-0.94354431,5.21695322,,,
supg,0.01,u_xy,0.17103739,0.08328745,0.25261412,5.21695322,,,
supg,0.01,u_xxx,0.01288025,0.01190282,0.01382712,5.21695322,,,
supg,0.01,u_yyy,-0.00243197,-0.00283734,-0.00202758,5.21695322,,,
supg_half,0.00,u_xx,-0.28329915,-0.31965573,-0.24113518,3.20367272,,,
supg_half,0.00,u_yy,-0.94921086,-0.96063603,-0.93647418,3.20367272,,,
supg_half,0.00,u_xy,0.13677915,0.09073370,0.18563677,3.20367272,,,
supg_half,0.00,u_xxx,0.00560991,0.00522260,0.00597728,3.20367272,,,
supg_half,0.00,u_yyy,-0.00057925,-0.00076202,-0.00040243,3.20367272,,,
supg_half,0.01,u_xx,-0.24651397,-0.27575568,-0.21674942,2.73362847,,,
supg_half,0.01,u_yy,-0.95755170,-0.96681997,-0.94671324,2.73362847,,,
supg_half,0.01,u_xy,0.14934135,0.10595243,0.19290918,2.73362847,,,
supg_half,0.01,u_xxx,0.00473726,0.00435290,0.00513550,2.73362847,,,
supg_half,0.01,u_yyy,-0.00056864,-0.00073654,-0.00040519,2.73362847,,,
supg_2tau,0.00,u_xx,0.21442660,0.03899809,0.37937053,13.68911492,,,
supg_2tau,0.00,u_yy,0.91018574,0.80429538,0.97655478,13.68911492,,,
supg_2tau,0.00,u_xy,0.34380251,0.13559438,0.50652078,13.68911492,,,
supg_2tau,0.00,u_xxx,0.08355271,0.07215318,0.09185237,13.68911492,,,
supg_2tau,0.00,u_yyy,-0.02004827,-0.02264209,-0.01692224,13.68911492,,,
supg_2tau,0.01,u_xx,-0.65824055,-0.74743361,-0.54993585,12.25727410,,,
supg_2tau,0.01,u_yy,0.73998366,0.65675676,0.80932187,12.25727410,,,
supg_2tau,0.01,u_xy,0.12930778,-0.06469393,0.32531722,12.25727410,,,
supg_2tau,0.01,u_xxx,0.04565347,0.04040290,0.05041513,12.25727410,,,
supg_2tau,0.01,u_yyy,-0.01840710,-0.02125086,-0.01553175,12.25727410,,,
streamdiff_inc,0.00,u_xx,-0.14491359,-0.22499040,-0.05686847,6.62082436,,,
streamdiff_inc,0.00,u_yy,-0.97581015,-0.98814131,-0.95508465,6.62082436,,,
streamdiff_inc,0.00,u_xy,0.16257075,0.06525965,0.25932060,6.62082436,,,
streamdiff_inc,0.00,u_xxx,0.01893161,0.01800657,0.01971497,6.62082436,,,
streamdiff_inc,0.00,u_yyy,-0.00263616,-0.00302596,-0.00221830,6.62082436,,,
streamdiff_inc,0.01,u_xx,-0.21272121,-0.25325024,-0.16843126,5.05967580,,,
streamdiff_inc,0.01,u_yy,-0.96120916,-0.97486110,-0.94161629,5.05967580,,,
streamdiff_inc,0.01,u_xy,0.17508222,0.09204462,0.25880049,5.05967580,,,
streamdiff_inc,0.01,u_xxx,0.01291691,0.01187374,0.01383601,5.05967580,,,
streamdiff_inc,0.01,u_yyy,-0.00245073,-0.00283608,-0.00203627,5.05967580,,,
artvisc,0.00,u_xx,0.47667062,0.39026562,0.58222392,6.43849284,,,
artvisc,0.00,u_yy,0.11179203,0.09970356,0.12565117,6.43849284,,,
artvisc,0.00,u_xy,-0.87188585,-0.91403272,-0.80516220,6.43849284,,,
artvisc,0.00,u_xxx,0.01011359,0.00893009,0.01139563,6.43849284,,,
artvisc,0.00,u_yyy,-0.00066053,-0.00077975,-0.00053584,6.43849284,,,
artvisc,0.01,u_xx,0.17649226,0.10950518,0.26040328,4.80790193,,,
artvisc,0.01,u_yy,0.15527731,0.12619883,0.19444899,4.80790193,,,
artvisc,0.01,u_xy,-0.97197047,-0.98508101,-0.94681735,4.80790193,,,
artvisc,0.01,u_xxx,0.00351447,0.00286071,0.00434754,4.80790193,,,
artvisc,0.01,u_yyy,-0.00069389,-0.00089407,-0.00046100,4.80790193,,,
summary,,,,,,,supg_vs_galerkin,1,
summary,,,,,,,supg_vs_streamdiff_inc,,1
